plantID,flowering,survival,plantID_db,date
1,0,1,1136,7/25/2024
2,0,1,1137,7/25/2024
3,,0,1138,7/25/2024
4,0,1,1139,7/25/2024
5,1,1,1140,7/25/2024
6,0,1,1141,7/25/2024
7,1,1,1142,7/25/2024
8,0,1,1143,7/25/2024
9,1,1,1144,7/25/2024
10,0,1,1145,7/25/2024
11,0,1,1146,7/25/2024
12,1,1,1147,7/25/2024
13,1,1,1148,7/25/2024
14,0,1,1149,7/25/2024
15,1,1,1150,7/25/2024
16,0,1,1151,7/25/2024
17,,0,1152,7/25/2024
18,0,1,1153,7/25/2024
19,,0,1154,7/25/2024
20,0,1,1155,7/25/2024
21,1,1,1156,7/25/2024
22,,0,1157,7/25/2024
23,1,1,1158,7/25/2024
24,0,1,1159,7/25/2024
25,1,1,1160,7/25/2024
26,1,1,1161,7/25/2024
27,,0,1162,7/25/2024
28,,0,1163,7/25/2024
29,0,1,1164,7/25/2024
30,,0,1165,7/25/2024
31,0,1,1166,7/25/2024
32,0,1,1167,7/25/2024
33,0,1,1168,7/25/2024
34,0,1,1169,7/25/2024
35,,0,1170,7/25/2024
36,0,1,1171,7/25/2024
37,,0,1172,7/25/2024
38,1,1,1173,7/25/2024
39,,0,1174,7/25/2024
40,,0,1175,7/25/2024
41,1,1,1176,7/25/2024
42,0,1,1177,7/25/2024
43,0,1,1178,7/25/2024
44,0,1,1179,7/25/2024
45,0,1,1180,7/25/2024
46,0,1,1181,7/25/2024
47,1,1,1182,7/25/2024
48,1,1,1183,7/25/2024
49,,0,1184,7/25/2024
50,1,1,1185,7/25/2024
51,0,1,1186,7/25/2024
52,1,1,1187,7/25/2024
53,0,1,1188,7/25/2024
54,1,1,1189,7/25/2024
55,0,1,1190,7/25/2024
56,0,1,1191,7/25/2024
57,,0,1192,7/25/2024
58,,0,1193,7/25/2024
59,1,1,1194,7/25/2024
60,,0,1195,7/25/2024
61,0,1,1196,7/25/2024
62,0,1,1197,7/25/2024
63,0,1,1198,7/25/2024
64,,0,1199,7/25/2024
65,1,1,1200,7/25/2024
66,0,1,1201,7/25/2024
67,0,1,1202,7/25/2024
68,1,1,1203,7/25/2024
69,0,1,1204,7/25/2024
70,0,1,1205,7/25/2024
71,0,1,1206,7/25/2024
72,0,1,1207,7/25/2024
73,0,1,1208,7/25/2024
74,0,1,1209,7/25/2024
75,0,1,1210,7/25/2024
76,1,1,1211,7/25/2024
77,1,1,1212,7/25/2024
78,1,1,1213,7/25/2024
79,1,1,1214,7/25/2024
80,1,1,1215,7/25/2024
81,0,1,1216,7/25/2024
82,1,1,1217,7/25/2024
83,0,1,1218,7/25/2024
84,1,1,1219,7/25/2024
85,1,1,1220,7/25/2024
86,1,1,1221,7/25/2024
87,0,1,1222,7/25/2024
88,0,1,1223,7/25/2024
89,1,1,1224,7/25/2024
90,,0,1225,7/25/2024
91,0,1,1226,7/25/2024
92,,0,1227,7/25/2024
93,1,1,1228,7/25/2024
94,0,1,1229,7/25/2024
95,0,1,1230,7/25/2024
96,0,1,1231,7/25/2024
97,0,1,1232,7/25/2024
98,0,1,1233,7/25/2024
99,0,1,1234,7/25/2024
100,1,1,1235,7/25/2024
101,1,1,1236,7/25/2024
102,1,1,1237,7/25/2024
103,0,1,1238,7/25/2024
104,,0,1239,7/25/2024
105,1,1,1240,7/25/2024
106,0,1,1241,7/25/2024
107,1,1,1242,7/25/2024
108,0,1,1243,7/25/2024
109,1,1,1244,7/25/2024
110,0,1,1245,7/25/2024
111,1,1,1246,7/25/2024
112,1,1,1247,7/25/2024
113,,0,1248,7/25/2024
114,1,1,1249,7/25/2024
115,,0,1250,7/25/2024
116,0,1,1251,7/25/2024
117,1,1,1252,7/25/2024
118,1,1,1253,7/25/2024
119,1,1,1254,7/25/2024
120,1,1,1255,7/25/2024
121,1,1,1256,7/25/2024
122,0,1,1257,7/25/2024
123,0,1,1258,7/25/2024
124,,0,1259,7/25/2024
125,0,1,1260,7/25/2024
126,1,1,1261,7/25/2024
127,0,1,1262,7/25/2024
128,0,1,1263,7/25/2024
129,0,1,1264,7/25/2024
130,1,1,1265,7/25/2024
131,0,1,1266,7/25/2024
132,1,1,1267,7/25/2024
133,1,1,1268,7/25/2024
134,0,1,1269,7/25/2024
135,0,1,1270,7/25/2024
136,0,1,1271,7/25/2024
137,1,1,1272,7/25/2024
138,0,1,1273,7/25/2024
139,0,1,1274,7/25/2024
140,1,1,1275,7/25/2024
141,0,1,1276,7/25/2024
142,1,1,1277,7/25/2024
143,1,1,1278,7/25/2024
144,1,1,1279,7/25/2024
145,,0,1280,7/25/2024
146,0,1,1281,7/25/2024
147,,0,1282,7/25/2024
148,,0,1283,7/25/2024
149,0,1,1284,7/25/2024
150,1,1,1285,7/25/2024
151,0,1,1286,7/25/2024
152,,0,1287,7/25/2024
153,0,1,1288,7/25/2024
154,0,1,1289,7/25/2024
155,,0,1290,7/25/2024
156,0,1,1291,7/25/2024
157,1,1,1292,7/25/2024
