plantID,flowering,survival,plantID_db,date
952,,0,2087,7/11/2024
953,,0,2088,7/11/2024
954,0,1,2089,7/11/2024
955,1,1,2090,7/11/2024
956,0,1,2091,7/11/2024
957,1,1,2092,7/11/2024
958,0,1,2093,7/11/2024
959,0,1,2094,7/11/2024
960,,0,2095,7/11/2024
961,0,1,2096,7/11/2024
962,,0,2097,7/11/2024
963,0,1,2098,7/11/2024
964,,0,2099,7/11/2024
965,0,1,2100,7/11/2024
966,,0,2101,7/11/2024
967,,0,2102,7/11/2024
968,0,1,2103,7/11/2024
969,1,1,2104,7/11/2024
970,,0,2105,7/11/2024
971,0,1,2106,7/11/2024
972,0,1,2107,7/11/2024
973,,0,2108,7/11/2024
974,,0,2109,7/11/2024
975,,0,2110,7/11/2024
976,1,1,2111,7/11/2024
977,,0,2112,7/11/2024
978,0,1,2113,7/11/2024
979,,0,2114,7/11/2024
980,0,1,2115,7/11/2024
981,1,1,2116,7/11/2024
982,0,1,2117,7/11/2024
983,,0,2118,7/11/2024
984,,0,2119,7/11/2024
985,0,1,2120,7/11/2024
986,0,1,2121,7/11/2024
987,0,1,2122,7/11/2024
988,0,1,2123,7/11/2024
989,1,1,2124,7/11/2024
990,0,1,2125,7/11/2024
991,,0,2126,7/11/2024
992,,0,2127,7/11/2024
993,0,1,2128,7/11/2024
994,1,1,2129,7/11/2024
995,0,1,2130,7/11/2024
996,0,1,2131,7/11/2024
997,0,1,2132,7/11/2024
998,0,1,2133,7/11/2024
999,,0,2134,7/11/2024
1000,0,1,2135,7/11/2024
1001,,0,2136,7/11/2024
1002,,0,2137,7/11/2024
1003,,0,2138,7/11/2024
1004,0,1,2139,7/11/2024
1005,1,1,2140,7/11/2024
1006,,0,2141,7/11/2024
1007,,0,2142,7/11/2024
1008,0,1,2143,7/11/2024
1009,0,1,2144,7/11/2024
1010,0,1,2145,7/11/2024
1011,0,1,2146,7/11/2024
1012,,0,2147,7/11/2024
1013,0,1,2148,7/11/2024
1014,,0,2149,7/11/2024
792,1,1,1927,7/11/2024
793,0,1,1928,7/11/2024
794,1,1,1929,7/11/2024
795,0,1,1930,7/11/2024
796,,0,1931,7/11/2024
797,,0,1932,7/11/2024
798,0,1,1933,7/11/2024
799,0,1,1934,7/11/2024
800,0,1,1935,7/11/2024
801,1,1,1936,7/11/2024
802,,0,1937,7/11/2024
803,0,1,1938,7/11/2024
804,0,1,1939,7/11/2024
805,0,1,1940,7/11/2024
806,0,1,1941,7/11/2024
807,,0,1942,7/11/2024
808,0,1,1943,7/11/2024
809,0,1,1944,7/11/2024
810,0,1,1945,7/11/2024
811,1,1,1946,7/11/2024
812,0,1,1947,7/11/2024
813,,0,1948,7/11/2024
814,1,1,1949,7/11/2024
815,,0,1950,7/11/2024
816,0,1,1951,7/11/2024
817,,0,1952,7/11/2024
818,1,1,1953,7/11/2024
819,0,1,1954,7/11/2024
820,0,1,1955,7/11/2024
821,0,1,1956,7/11/2024
822,0,1,1957,7/11/2024
823,,0,1958,7/11/2024
1015,,0,2150,7/11/2024
